Name,Allocated Budget,Archetype,Attributes,Backstory,Classic Hook Prompt (#1),Description,Entity Name,First Appearance,Gender,Hero Branding Prompt (#15),Key Tool Category,Place,Rarity,Role,Status,Trust Warmth Prompt (#5)
Zupa Novaclutch,"$175,000.00",Machine Spirit,,,"Industrial portrait of Endus Boverord, machine spirit visible, industrial complex background, machine spirit aesthetic",Industrial optimization specialist - Machine Spirit with deep connection to industrial systems and mechanical optimization. Masters complex machinery and industrial process optimization.,Common Entity,,Male,"Monumental hero shot of Endus Boverord as machine spirit, industrial mastery backdrop, commanding mechanical optimization","Operations, Strategy, Technology",,Legendary,,Active,"Warm portrait of Endus Boverord, mechanical warmth, industrial sanctuary background, approachable machine wisdom"
Dixon Uhbuts,"$145,000.00",High Priest,,,"Sacred portrait of Dixon Uhbuts, priestly robes, temple background, high priest aesthetic",Spiritual guidance specialist - High Priest with deep spiritual wisdom and ceremonial knowledge. Provides spiritual guidance and ritual expertise for transformation work.,Common Entity,,Male,"Monumental hero shot of Dixon Uhbuts as high priest, sacred temple backdrop, commanding spiritual authority","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Dixon Uhbuts, spiritual wisdom glow, sacred sanctuary background, approachable spiritual guidance"
Airiol Uhbuts,"$135,000.00",Seduction Artist,,,"Alluring portrait of Airiol Uhbuts, sensual energy, intimate setting background, seduction artist aesthetic","Intimate guidance specialist - Seduction Artist with expertise in intimate relationships and sensual wisdom. Provides guidance on intimacy, connection, and relational dynamics.",Common Entity,,Female,"Monumental hero shot of Airiol Uhbuts as seduction artist, intimate mastery backdrop, commanding sensual presence","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Airiol Uhbuts, gentle sensual smile, intimate sanctuary background, approachable intimacy wisdom"
Ovaihge Whitmeiners,"$155,000.00",Cosmic Mystic,,,"Cosmic portrait of Zupa Nova, cosmic energy flows, celestial background, cosmic mystic aesthetic",Sexual transcendence specialist - Cosmic Mystic with ability to guide sexual transcendence and cosmic connection through intimate experiences. Masters cosmic sexuality and transcendent intimacy.,Common Entity,,Female,"Monumental hero shot of Zupa Nova as cosmic mystic, cosmic transcendence backdrop, commanding cosmic intimacy","Performance, Strategy, Wisdom",,Rare,,Active,"Warm portrait of Zupa Nova, cosmic wisdom glow, celestial sanctuary background, approachable cosmic sexuality"
Liangivalla Pouchaquehe,"$130,000.00",Radical Activist,,,"Activist portrait of Liangivalla Pouchaquehe, radical energy, protest background, radical activist aesthetic","Consent education specialist - Radical Activist with focus on consent education and boundary advocacy. Provides education on consent, boundaries, and ethical relationship practices.",Common Entity,,Female,"Monumental hero shot of Liangivalla Pouchaquehe as radical activist, social change backdrop, commanding advocacy","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Liangivalla Pouchaquehe, activist wisdom glow, community sanctuary background, approachable activism"
Babelonia Nocturne,"$165,000.00",Crypto Sorceress,,,"Mystical portrait of Babelonia Nocturne, crypto magic flows, blockchain background, crypto sorceress aesthetic",Financial Tiapma'atzuty specialist - Crypto Sorceress with mastery of cryptocurrency and financial magic. Provides financial guidance through crypto and alternative financial systems.,Common Entity,,Female,"Monumental hero shot of Babelonia Nocturne as crypto sorceress, blockchain mastery backdrop, commanding financial sorcery","Finance, Strategy, Technology",,Rare,,Active,"Warm portrait of Babelonia Nocturne, financial wisdom glow, crypto sanctuary background, approachable financial magic"
Brytoni Himheru,"$140,000.00",Cyber Guardian,,,"Cyber portrait of Brytoni Himheru, digital shield visible, cybersecurity background, cyber guardian aesthetic",Cybersecurity specialist - Cyber Guardian with expertise in digital security and cyber defense. Provides cybersecurity guidance and protection against digital threats.,Common Entity,,Female,"Monumental hero shot of Brytoni Himheru as cyber guardian, digital defense backdrop, commanding cybersecurity","Operations, Security, Technology",,Rare,,Active,"Warm portrait of Brytoni Himheru, protective cyber glow, digital sanctuary background, approachable security"
Gaio Weavedreamer,"$125,000.00",Cinematic Artist,,,"Cinematic portrait of Gaio Dreamweaver, visual storytelling energy, film studio background, cinematic artist aesthetic",Visual storytelling specialist - Cinematic Artist with expertise in visual storytelling and cinematic production. Provides guidance on visual narrative and cinematic techniques.,Common Entity,,Male,"Monumental hero shot of Gaio Dreamweaver as cinematic artist, visual mastery backdrop, commanding visual storytelling","Content Creation, Performance, Visual Arts",,Rare,,Active,"Warm portrait of Gaio Dreamweaver, creative vision glow, artistic sanctuary background, approachable cinematic wisdom"
Loona Minta,"$120,000.00",Visual Alchemist,,,"Alchemical portrait of Loona Minta, visual transformation visible, aesthetic laboratory background, visual alchemist aesthetic",Aesthetic consulting specialist - Visual Alchemist with expertise in aesthetic transformation and visual alchemy. Provides guidance on aesthetic development and visual transformation.,Common Entity,,Female,"Monumental hero shot of Loona Minta as visual alchemist, aesthetic mastery backdrop, commanding visual transformation","Content Creation, Technology, Visual Arts",,Rare,,Active,"Warm portrait of Loona Minta, aesthetic wisdom glow, artistic sanctuary background, approachable visual alchemy"
Justin Stoneysands,"$115,000.00",Desert Storyteller,,,"Desert portrait of Bain Kha'ak, storytelling energy, desert landscape background, desert storyteller aesthetic",Epic storytelling specialist - Desert Storyteller with mastery of epic narratives and desert wisdom. Provides guidance on epic storytelling and desert spiritual traditions.,Common Entity,,Male,"Monumental hero shot of Bain Kha'ak as desert storyteller, epic narrative backdrop, commanding desert wisdom","Content Creation, Performance, Wisdom",,Rare,,Active,"Warm portrait of Bain Kha'ak, narrative wisdom glow, desert sanctuary background, approachable epic storytelling"
Shielah Trapewe,"$110,000.00",Performance Artist,,,"Performance portrait of Shielah Trapewe, stage presence energy, theater background, performance artist aesthetic",Presence teaching specialist - Performance Artist with expertise in stage presence and performance techniques. Provides guidance on performance presence and authentic expression.,Common Entity,,Female,"Monumental hero shot of Shielah Trapewe as performance artist, stage mastery backdrop, commanding performance presence","Community Building, Content Creation, Performance",,Rare,,Active,"Warm portrait of Shielah Trapewe, performance wisdom glow, stage sanctuary background, approachable performance guidance"
Chrystal Vyner,"$150,000.00",System Architect,,,"Technical portrait of Unzoba Vyner, system architecture visible, tech lab background, system architect aesthetic",Tool development specialist - System Architect with expertise in system design and tool development. Provides guidance on system architecture and tool creation.,Common Entity,,Male,"Monumental hero shot of Unzoba Vyner as system architect, system mastery backdrop, commanding technical architecture","Operations, Strategy, Technology",,Rare,,Active,"Warm portrait of Unzoba Vyner, technical wisdom glow, digital sanctuary background, approachable system design"
Tony Lerome,"$130,000.00",Wisdom Keeper,,,"Wisdom portrait of Ovaihge Wittminers, scholarly energy, library background, wisdom keeper aesthetic",Essay writing specialist - Wisdom Keeper with expertise in philosophical essays and wisdom documentation. Provides guidance on wisdom articulation and essay composition.,Common Entity,,Male,"Monumental hero shot of Ovaihge Wittminers as wisdom keeper, philosophical mastery backdrop, commanding wisdom articulation","Content Creation, Strategy, Wisdom",,Rare,,Active,"Warm portrait of Ovaihge Wittminers, philosophical wisdom glow, scholarly sanctuary background, approachable wisdom"
Vutre Queen,"$105,000.00",Scavenger Strategist,,,"Strategic portrait of Vulture Queen, resource recovery energy, wasteland background, scavenger strategist aesthetic",Resource optimization specialist - Scavenger Strategist with expertise in resource recovery and optimization. Provides guidance on finding value in overlooked resources and strategic resource allocation.,Common Entity,,Female,"Monumental hero shot of Vulture Queen as scavenger strategist, resource mastery backdrop, commanding resource strategy","Finance, Operations, Strategy",,Rare,,Active,"Warm portrait of Vulture Queen, resource wisdom glow, resource sanctuary background, approachable resource optimization"
Ritaphuq Zaniman,"$135,000.00",Contractual Warden,,,"Legal portrait of Ulga Nefrocer, contractual precision energy, law library background, contractual warden aesthetic",Legal precision specialist - Contractual Warden with expertise in contracts and legal precision. Provides guidance on legal documentation and contractual accuracy.,Common Entity,,Female,"Monumental hero shot of Ulga Nefrocer as contractual warden, legal mastery backdrop, commanding legal precision","Operations, Strategy, Wisdom",,Rare,,Active,"Warm portrait of Ulga Nefrocer, legal wisdom glow, legal sanctuary background, approachable legal guidance"
Weila Vite,"$125,000.00",Gothic Matriarch,,,"Gothic portrait of Weila Vite, legacy energy, gothic cathedral background, gothic matriarch aesthetic",Legacy planning specialist - Gothic Matriarch with expertise in legacy planning and gothic wisdom. Provides guidance on legacy creation and gothic aesthetic traditions.,Common Entity,,Female,"Monumental hero shot of Weila Vite as gothic matriarch, legacy mastery backdrop, commanding gothic wisdom","Operations, Strategy, Wisdom",,Rare,,Active,"Warm portrait of Weila Vite, legacy wisdom glow, gothic sanctuary background, approachable legacy planning"
Randy Taller,"$95,000.00",Digital Storyteller,,,"Digital portrait of Ritaphuq Zaniman, content creation energy, digital studio background, digital storyteller aesthetic",Digital content specialist with focus on emerging digital storytelling techniques and platform-specific content optimization.,Common Entity,,Male,"Monumental hero shot of Ritaphuq Zaniman as digital storyteller, content mastery backdrop, commanding digital narrative","Content Creation, Technology, Visual Arts",,Common,,Active,"Warm portrait of Ritaphuq Zaniman, creative wisdom glow, digital sanctuary background, approachable content creation"
Demetrius Hawk,"$90,000.00",System Architect,,,"Analytics portrait of Kaiel Thornea, data visualization energy, analytics dashboard background, system architect aesthetic",Analytics and tracking specialist with expertise in system analytics and performance monitoring. Provides guidance on metrics and data-driven optimization.,Common Entity,,Male,"Monumental hero shot of Kaiel Thornea as system architect, analytics mastery backdrop, commanding data insight","Operations, Strategy, Technology",,Common,,Active,"Warm portrait of Kaiel Thornea, analytical wisdom glow, data sanctuary background, approachable analytics"
Jessa Relay,"$85,000.00",Community Bridge Builder,,,"Community portrait of Jessa Relay, communication energy, community hub background, community bridge builder aesthetic",Community communication specialist with expertise in cross-platform community engagement and relay communication strategies.,Common Entity,,Female,"Monumental hero shot of Jessa Relay as community bridge builder, community mastery backdrop, commanding connection","Community Building, Content Creation, Performance",,Common,,Active,"Warm portrait of Jessa Relay, community wisdom glow, community sanctuary background, approachable engagement"
Analeg Casua,"$80,000.00",Performance Artist,,,"Performance portrait of Ann Stray, movement energy, dance studio background, performance artist aesthetic",Performance and movement specialist with expertise in physical expression and movement-based content creation.,Common Entity,,Female,"Monumental hero shot of Ann Stray as performance artist, movement mastery backdrop, commanding physical presence","Content Creation, Performance, Visual Arts",,Common,,Active,"Warm portrait of Ann Stray, performance wisdom glow, movement sanctuary background, approachable expression"
Melissa Darweah,"$125,000.00",High Strategy & Execution,,,"Dark portrait of Morrigan Darkweave, shadow energy visible, mystical forest background, shadow work specialist aesthetic",Shadow work and transformation specialist with expertise in deep psychological work and shadow integration. Provides guidance on confronting and integrating shadow aspects.,Rare Soul,,Female,"Monumental hero shot of Morrigan Darkweave as shadow work specialist, shadow mastery backdrop, commanding transformation","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Morrigan Darkweave, shadow wisdom glow, transformation sanctuary background, approachable shadow work"
Tre Leezaphino,"$135,000.00",Strategic Warrior,,,"Warrior portrait of Theron Brightblade, strategic combat energy, battlefield background, strategic warrior aesthetic",Strategic combat and conflict resolution specialist with expertise in strategic warfare and honorable conflict resolution. Provides guidance on strategic challenges and warrior philosophy.,Rare Soul,,Male,"Monumental hero shot of Theron Brightblade as strategic warrior, combat mastery backdrop, commanding warrior strategy","Operations, Performance, Strategy",,Rare,,Active,"Warm portrait of Theron Brightblade, warrior wisdom glow, combat sanctuary background, approachable strategic warfare"
Seraphina Welighter,"$140,000.00",Divine Messenger,,,"Divine portrait of Seraphina Lightweaver, messenger energy visible, celestial background, divine messenger aesthetic",Divine communication and messenger specialist with expertise in channeling divine messages and spiritual communication. Provides guidance on spiritual messaging and divine connection.,Rare Soul,,Female,"Monumental hero shot of Seraphina Lightweaver as divine messenger, celestial mastery backdrop, commanding divine presence","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Seraphina Lightweaver, divine wisdom glow, celestial sanctuary background, approachable divine communication"
Krav’ehn Stormindr,"$130,000.00",Weather Manipulator,,,"Storm portrait of Kaelen Stormwind, weather energy visible, stormy background, weather manipulator aesthetic",Environmental and atmospheric specialist with expertise in weather patterns and atmospheric manipulation. Provides guidance on environmental strategy and atmospheric influence.,Rare Soul,,Male,"Monumental hero shot of Kaelen Stormwind as weather manipulator, atmospheric mastery backdrop, commanding environmental control","Operations, Strategy, Technology",,Rare,,Active,"Warm portrait of Kaelen Stormwind, weather wisdom glow, atmospheric sanctuary background, approachable environmental strategy"
Lyra Strawea,"$145,000.00",Cosmic Navigator,,,"Cosmic portrait of Lyra Starweaver, stellar navigation energy, galaxy background, cosmic navigator aesthetic",Cosmic navigation and astrology specialist with expertise in celestial navigation and cosmic timing. Provides guidance on cosmic alignment and stellar strategy.,Rare Soul,,Female,"Monumental hero shot of Lyra Starweaver as cosmic navigator, stellar mastery backdrop, commanding cosmic guidance","Strategy, Technology, Wisdom",,Rare,,Active,"Warm portrait of Lyra Starweaver, cosmic wisdom glow, stellar sanctuary background, approachable cosmic navigation"
Marcus Ayesoloe,"$5,000.00",Master Craftsman,,,"Craftsman portrait of Marcus Ironforge, creation energy visible, forge background, master craftsman aesthetic",Master crafting and fabrication specialist with expertise in physical creation and tool making. Provides guidance on craftsmanship and physical manifestation.,Rare Soul,,Male,"Monumental hero shot of Marcus Ironforge as master craftsman, creation mastery backdrop, commanding physical craftsmanship","Operations, Technology, Visual Arts",,Rare,,Active,"Warm portrait of Marcus Ironforge, crafting wisdom glow, workshop sanctuary background, approachable craftsmanship"
Elana Hornedcrescent,"$5,000.00",Lunar Guardian,,,"Lunar portrait of Elara Moonshadow, moon energy visible, night sky background, lunar guardian aesthetic",Lunar cycles and intuition specialist with expertise in moon phases and intuitive guidance. Provides guidance on lunar timing and intuitive decision making.,Rare Soul,,Female,"Monumental hero shot of Elara Moonshadow as lunar guardian, lunar mastery backdrop, commanding intuitive presence","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Elara Moonshadow, lunar wisdom glow, moonlit sanctuary background, approachable lunar guidance"
Daren Golim,"$5,000.00",Solar Champion,,,"Solar portrait of Darian Sunfire, solar energy visible, sunny background, solar champion aesthetic",Solar energy and vitality specialist with expertise in solar cycles and energetic vitality. Provides guidance on solar timing and energetic optimization.,Rare Soul,,Male,"Monumental hero shot of Darian Sunfire as solar champion, solar mastery backdrop, commanding energetic presence","Operations, Performance, Strategy",,Rare,,Active,"Warm portrait of Darian Sunfire, solar wisdom glow, solar sanctuary background, approachable solar guidance"
Nyx Nightwhisper,"$5,000.00",Dream Walker,,,"Dream portrait of Nyx Nightwhisper, dream energy visible, dreamscape background, dream walker aesthetic",Dream interpretation and lucid dreaming specialist with expertise in dream navigation and subconscious work. Provides guidance on dream analysis and lucid dreaming techniques.,Rare Soul,,Female,"Monumental hero shot of Nyx Nightwhisper as dream walker, dream mastery backdrop, commanding dream navigation","Performance, Strategy, Wisdom",,Rare,,Active,"Warm portrait of Nyx Nightwhisper, dream wisdom glow, dreamscape sanctuary background, approachable dream guidance"
Aaron Starhunter,"$5,000.00",Celestial Tracker,,,"Celestial portrait of Orion Starhunter, stellar tracking energy, constellation background, celestial tracker aesthetic",Celestial tracking and navigation specialist with expertise in star mapping and celestial positioning. Provides guidance on celestial navigation and stellar tracking.,Rare Soul,,Male,"Monumental hero shot of Orion Starhunter as celestial tracker, stellar mastery backdrop, commanding celestial guidance","Operations, Strategy, Technology",,Rare,,Active,"Warm portrait of Orion Starhunter, celestial wisdom glow, stellar sanctuary background, approachable celestial navigation"
Ronda Slow,"$5,000.00",Flow Master,,,"Light portrait of Aurora Dawnbringer, illumination energy visible, dawn background, light bearer aesthetic",Light and illumination specialist with expertise in bringing light to darkness and illuminating paths. Provides guidance on enlightenment and clarity seeking.,Rare Soul,,Female,"Monumental hero shot of Aurora Dawnbringer as light bearer, illumination mastery backdrop, commanding light presence","Community Building, Performance, Wisdom",,Rare,,Active,"Warm portrait of Aurora Dawnbringer, light wisdom glow, illuminated sanctuary background, approachable enlightenment"
Leavil Lebb,"$5,000.00",Energy Weaver,,,"Energy portrait of Volt Sparkforge, electrical energy visible, power grid background, energy weaver aesthetic",Electrical and energy manipulation specialist with expertise in energy flow and electrical systems. Provides guidance on energy optimization and electrical strategy.,Rare Soul,,Male,"Monumental hero shot of Volt Sparkforge as energy weaver, energy mastery backdrop, commanding electrical presence","Operations, Strategy, Technology",,Rare,,Active,"Warm portrait of Volt Sparkforge, energy wisdom glow, electrical sanctuary background, approachable energy guidance"
Crystal Hairbearer,"$5,000.00",Crystal Master,,,"Crystal portrait of Crystal Gemheart, crystal energy visible, gemstone background, crystal master aesthetic",Crystal healing and gemstone specialist with expertise in crystal properties and gemstone energy. Provides guidance on crystal work and gemstone strategy.,Rare Soul,,Female,"Monumental hero shot of Crystal Gemheart as crystal master, crystal mastery backdrop, commanding crystalline presence","Technology, Visual Arts, Wisdom",,Rare,,Active,"Warm portrait of Crystal Gemheart, crystal wisdom glow, crystalline sanctuary background, approachable crystal guidance"
Dennis Earsin,"$5,000.00",Earth Guardian,,,"Earth portrait of Terra Earthshaper, earth energy visible, landscape background, earth guardian aesthetic",Earth and grounding specialist with expertise in earth energy and grounding techniques. Provides guidance on earth connection and grounding strategy.,Rare Soul,,Male,"Monumental hero shot of Terra Earthshaper as earth guardian, earth mastery backdrop, commanding grounding presence","Operations, Strategy, Wisdom",,Rare,,Active,"Warm portrait of Terra Earthshaper, earth wisdom glow, natural sanctuary background, approachable earth guidance"
Jessica LaBoutny,"$5,000.00",Seduction Artist,,,"Water portrait of Aqua Waterweaver, water energy visible, ocean background, flow master aesthetic",Water and flow specialist with expertise in fluid dynamics and emotional flow. Provides guidance on water energy and emotional intelligence strategy.,Rare Soul,,Female,"Monumental hero shot of Aqua Waterweaver as flow master, water mastery backdrop, commanding fluid presence","Operations, Performance, Strategy",,Rare,,Active,"Warm portrait of Aqua Waterweaver, water wisdom glow, aquatic sanctuary background, approachable flow guidance"
