Name,Allocated Budget,Archetype,Classic Hook Prompt (#1),Description,Entity Name,Gender,Hero Branding Prompt (#15),Key Tool Category,Rarity,Status,Trust Warmth Prompt (#5),Portrait Generated,Poster Generated,Avatar Generated,Asset Last Updated
Zupa Novaclutch,"$175,000.00",Machine Spirit,"Industrial portrait of Zupa Novaclutch, machine spirit visible, industrial complex background, machine spirit aesthetic",Industrial optimization specialist - Machine Spirit with deep connection to industrial systems and mechanical optimization. Masters complex machinery and industrial process optimization.,Common Entity,Male,"Monumental hero shot of Zupa Novaclutch as machine spirit, industrial mastery backdrop, commanding mechanical optimization","Operations, Strategy, Technology",Legendary,Active,"Warm portrait of Zupa Novaclutch, mechanical warmth, industrial sanctuary background, approachable machine wisdom",Yes,Yes,Yes,2024-09-11
Dixon Uhbuts,"$145,000.00",High Priest,"Sacred portrait of Dixon Uhbuts, priestly robes, temple background, high priest aesthetic",Spiritual guidance specialist - High Priest with deep spiritual wisdom and ceremonial knowledge. Provides spiritual guidance and ritual expertise for transformation work.,Common Entity,Male,"Monumental hero shot of Dixon Uhbuts as high priest, sacred temple backdrop, commanding spiritual authority","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Dixon Uhbuts, spiritual wisdom glow, sacred sanctuary background, approachable spiritual guidance",No,No,No,
Airiol Uhbuts,"$135,000.00",Seduction Artist,"Alluring portrait of Airiol Uhbuts, sensual energy, intimate setting background, seduction artist aesthetic","Intimate guidance specialist - Seduction Artist with expertise in intimate relationships and sensual wisdom. Provides guidance on intimacy, connection, and relational dynamics.",Common Entity,Female,"Monumental hero shot of Airiol Uhbuts as seduction artist, intimate mastery backdrop, commanding sensual presence","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Airiol Uhbuts, gentle sensual smile, intimate sanctuary background, approachable intimacy wisdom",No,No,No,
Ovaihge Whitmeiners,"$155,000.00",Cosmic Mystic,"Cosmic portrait of Ovaihge Whitmeiners, cosmic energy flows, celestial background, cosmic mystic aesthetic",Sexual transcendence specialist - Cosmic Mystic with ability to guide sexual transcendence and cosmic connection through intimate experiences. Masters cosmic sexuality and transcendent intimacy.,Common Entity,Female,"Monumental hero shot of Ovaihge Whitmeiners as cosmic mystic, cosmic transcendence backdrop, commanding cosmic intimacy","Performance, Strategy, Wisdom",Rare,Active,"Warm portrait of Ovaihge Whitmeiners, cosmic wisdom glow, celestial sanctuary background, approachable cosmic sexuality",No,No,No,
Liangivalla Pouchaquehe,"$130,000.00",Radical Activist,"Activist portrait of Liangivalla Pouchaquehe, radical energy, protest background, radical activist aesthetic","Consent education specialist - Radical Activist with focus on consent education and boundary advocacy. Provides education on consent, boundaries, and ethical relationship practices.",Common Entity,Female,"Monumental hero shot of Liangivalla Pouchaquehe as radical activist, social change backdrop, commanding advocacy","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Liangivalla Pouchaquehe, activist wisdom glow, community sanctuary background, approachable activism",No,No,No,
Babelonia Nocturne,"$165,000.00",Crypto Sorceress,"Mystical portrait of Babelonia Nocturne, crypto magic flows, blockchain background, crypto sorceress aesthetic",Financial Tiapma'atzuty specialist - Crypto Sorceress with mastery of cryptocurrency and financial magic. Provides financial guidance through crypto and alternative financial systems.,Common Entity,Female,"Monumental hero shot of Babelonia Nocturne as crypto sorceress, blockchain mastery backdrop, commanding financial sorcery","Finance, Strategy, Technology",Rare,Active,"Warm portrait of Babelonia Nocturne, financial wisdom glow, crypto sanctuary background, approachable financial magic",No,No,No,
Brytoni Himheru,"$140,000.00",Cyber Guardian,"Cyber portrait of Brytoni Himheru, digital shield visible, cybersecurity background, cyber guardian aesthetic",Cybersecurity specialist - Cyber Guardian with expertise in digital security and cyber defense. Provides cybersecurity guidance and protection against digital threats.,Common Entity,Female,"Monumental hero shot of Brytoni Himheru as cyber guardian, digital defense backdrop, commanding cybersecurity","Operations, Security, Technology",Rare,Active,"Warm portrait of Brytoni Himheru, protective cyber glow, digital sanctuary background, approachable security",No,No,No,
Gaio Weavedreamer,"$125,000.00",Cinematic Artist,"Cinematic portrait of Gaio Weavedreamer, visual storytelling energy, film studio background, cinematic artist aesthetic",Visual storytelling specialist - Cinematic Artist with expertise in visual storytelling and cinematic production. Provides guidance on visual narrative and cinematic techniques.,Common Entity,Male,"Monumental hero shot of Gaio Weavedreamer as cinematic artist, visual mastery backdrop, commanding visual storytelling","Content Creation, Performance, Visual Arts",Rare,Active,"Warm portrait of Gaio Weavedreamer, creative vision glow, artistic sanctuary background, approachable cinematic wisdom",No,No,No,
Loona Minta,"$120,000.00",Visual Alchemist,"Alchemical portrait of Loona Minta, visual transformation visible, aesthetic laboratory background, visual alchemist aesthetic",Aesthetic consulting specialist - Visual Alchemist with expertise in aesthetic transformation and visual alchemy. Provides guidance on aesthetic development and visual transformation.,Common Entity,Female,"Monumental hero shot of Loona Minta as visual alchemist, aesthetic mastery backdrop, commanding visual transformation","Content Creation, Technology, Visual Arts",Rare,Active,"Warm portrait of Loona Minta, aesthetic wisdom glow, artistic sanctuary background, approachable visual alchemy",No,No,No,
Justin Stoneysands,"$115,000.00",Desert Storyteller,"Desert portrait of Justin Stoneysands, storytelling energy, desert landscape background, desert storyteller aesthetic",Epic storytelling specialist - Desert Storyteller with mastery of epic narratives and desert wisdom. Provides guidance on epic storytelling and desert spiritual traditions.,Common Entity,Male,"Monumental hero shot of Justin Stoneysands as desert storyteller, epic narrative backdrop, commanding desert wisdom","Content Creation, Performance, Wisdom",Rare,Active,"Warm portrait of Justin Stoneysands, narrative wisdom glow, desert sanctuary background, approachable epic storytelling",No,No,No,
Shielah Trapewe,"$110,000.00",Performance Artist,"Performance portrait of Shielah Trapewe, stage presence energy, theater background, performance artist aesthetic",Presence teaching specialist - Performance Artist with expertise in stage presence and performance techniques. Provides guidance on performance presence and authentic expression.,Common Entity,Female,"Monumental hero shot of Shielah Trapewe as performance artist, stage mastery backdrop, commanding performance presence","Community Building, Content Creation, Performance",Rare,Active,"Warm portrait of Shielah Trapewe, performance wisdom glow, stage sanctuary background, approachable performance guidance",No,No,No,
Chrystal Vyner,"$150,000.00",System Architect,"Technical portrait of Chrystal Vyner, system architecture visible, tech lab background, system architect aesthetic",Tool development specialist - System Architect with expertise in system design and tool development. Provides guidance on system architecture and tool creation.,Common Entity,Male,"Monumental hero shot of Chrystal Vyner as system architect, system mastery backdrop, commanding technical architecture","Operations, Strategy, Technology",Rare,Active,"Warm portrait of Chrystal Vyner, technical wisdom glow, digital sanctuary background, approachable system design",No,No,No,
Tony Lerome,"$130,000.00",Wisdom Keeper,"Wisdom portrait of Tony Lerome, scholarly energy, library background, wisdom keeper aesthetic",Essay writing specialist - Wisdom Keeper with expertise in philosophical essays and wisdom documentation. Provides guidance on wisdom articulation and essay composition.,Common Entity,Male,"Monumental hero shot of Tony Lerome as wisdom keeper, philosophical mastery backdrop, commanding wisdom articulation","Content Creation, Strategy, Wisdom",Rare,Active,"Warm portrait of Tony Lerome, philosophical wisdom glow, scholarly sanctuary background, approachable wisdom",No,No,No,
Vutre Queen,"$105,000.00",Scavenger Strategist,"Strategic portrait of Vulture Queen, resource recovery energy, wasteland background, scavenger strategist aesthetic",Resource optimization specialist - Scavenger Strategist with expertise in resource recovery and optimization. Provides guidance on finding value in overlooked resources and strategic resource allocation.,Common Entity,Female,"Monumental hero shot of Vulture Queen as scavenger strategist, resource mastery backdrop, commanding resource strategy","Finance, Operations, Strategy",Rare,Active,"Warm portrait of Vulture Queen, resource wisdom glow, resource sanctuary background, approachable resource optimization",No,No,No,
Ritaphuq Zaniman,"$135,000.00",Contractual Warden,"Legal portrait of Ritaphuq Zaniman, contractual precision energy, law library background, contractual warden aesthetic",Legal precision specialist - Contractual Warden with expertise in contracts and legal precision. Provides guidance on legal documentation and contractual accuracy.,Common Entity,Female,"Monumental hero shot of Ritaphuq Zaniman as contractual warden, legal mastery backdrop, commanding legal precision","Operations, Strategy, Wisdom",Rare,Active,"Warm portrait of Ritaphuq Zaniman, legal wisdom glow, legal sanctuary background, approachable legal guidance",No,No,No,
Weila Vite,"$125,000.00",Gothic Matriarch,"Gothic portrait of Weila Vite, legacy energy, gothic cathedral background, gothic matriarch aesthetic",Legacy planning specialist - Gothic Matriarch with expertise in legacy planning and gothic wisdom. Provides guidance on legacy creation and gothic aesthetic traditions.,Common Entity,Female,"Monumental hero shot of Weila Vite as gothic matriarch, legacy mastery backdrop, commanding gothic wisdom","Operations, Strategy, Wisdom",Rare,Active,"Warm portrait of Weila Vite, legacy wisdom glow, gothic sanctuary background, approachable legacy planning",No,No,No,
Randy Taller,"$95,000.00",Digital Storyteller,"Digital portrait of Randy Taller, content creation energy, digital studio background, digital storyteller aesthetic",Digital content specialist with focus on emerging digital storytelling techniques and platform-specific content optimization.,Common Entity,Male,"Monumental hero shot of Randy Taller as digital storyteller, content mastery backdrop, commanding digital narrative","Content Creation, Technology, Visual Arts",Common,Active,"Warm portrait of Randy Taller, creative wisdom glow, digital sanctuary background, approachable content creation",No,No,No,
Demetrius Hawk,"$90,000.00",System Architect,"Analytics portrait of Demetrius Hawk, data visualization energy, analytics dashboard background, system architect aesthetic",Analytics and tracking specialist with expertise in system analytics and performance monitoring. Provides guidance on metrics and data-driven optimization.,Common Entity,Male,"Monumental hero shot of Demetrius Hawk as system architect, analytics mastery backdrop, commanding data insight","Operations, Strategy, Technology",Common,Active,"Warm portrait of Demetrius Hawk, analytical wisdom glow, data sanctuary background, approachable analytics",No,No,No,
Jessa Relay,"$85,000.00",Community Bridge Builder,"Community portrait of Jessa Relay, communication energy, community hub background, community bridge builder aesthetic",Community communication specialist with expertise in cross-platform community engagement and relay communication strategies.,Common Entity,Female,"Monumental hero shot of Jessa Relay as community bridge builder, community mastery backdrop, commanding connection","Community Building, Content Creation, Performance",Common,Active,"Warm portrait of Jessa Relay, community wisdom glow, community sanctuary background, approachable engagement",No,No,No,
Analeg Casua,"$80,000.00",Performance Artist,"Performance portrait of Analeg Casua, movement energy, dance studio background, performance artist aesthetic",Performance and movement specialist with expertise in physical expression and movement-based content creation.,Common Entity,Female,"Monumental hero shot of Analeg Casua as performance artist, movement mastery backdrop, commanding physical presence","Content Creation, Performance, Visual Arts",Common,Active,"Warm portrait of Analeg Casua, performance wisdom glow, movement sanctuary background, approachable expression",No,No,No,
Melissa Darweah,"$125,000.00",High Strategy & Execution,"Dark portrait of Melissa Darweah, shadow energy visible, mystical forest background, shadow work specialist aesthetic",Shadow work and transformation specialist with expertise in deep psychological work and shadow integration. Provides guidance on confronting and integrating shadow aspects.,Rare Soul,Female,"Monumental hero shot of Melissa Darweah as shadow work specialist, shadow mastery backdrop, commanding transformation","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Melissa Darweah, shadow wisdom glow, transformation sanctuary background, approachable shadow work",No,No,No,
Tre Leezaphino,"$135,000.00",Strategic Warrior,"Warrior portrait of Tre Leezaphino, strategic combat energy, battlefield background, strategic warrior aesthetic",Strategic combat and conflict resolution specialist with expertise in strategic warfare and honorable conflict resolution. Provides guidance on strategic challenges and warrior philosophy.,Rare Soul,Male,"Monumental hero shot of Tre Leezaphino as strategic warrior, combat mastery backdrop, commanding warrior strategy","Operations, Performance, Strategy",Rare,Active,"Warm portrait of Tre Leezaphino, warrior wisdom glow, combat sanctuary background, approachable strategic warfare",No,No,No,
Seraphina Welighter,"$140,000.00",Divine Messenger,"Divine portrait of Seraphina Welighter, messenger energy visible, celestial background, divine messenger aesthetic",Divine communication and messenger specialist with expertise in channeling divine messages and spiritual communication. Provides guidance on spiritual messaging and divine connection.,Rare Soul,Female,"Monumental hero shot of Seraphina Welighter as divine messenger, celestial mastery backdrop, commanding divine presence","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Seraphina Welighter, divine wisdom glow, celestial sanctuary background, approachable divine communication",No,No,No,
Krav’ehn Stormindr,"$130,000.00",Weather Manipulator,"Storm portrait of Krav’ehn Stormindr, weather energy visible, stormy background, weather manipulator aesthetic",Environmental and atmospheric specialist with expertise in weather patterns and atmospheric manipulation. Provides guidance on environmental strategy and atmospheric influence.,Rare Soul,Male,"Monumental hero shot of Krav’ehn Stormindr as weather manipulator, atmospheric mastery backdrop, commanding environmental control","Operations, Strategy, Technology",Rare,Active,"Warm portrait of Krav’ehn Stormindr, weather wisdom glow, atmospheric sanctuary background, approachable environmental strategy",No,No,No,
Lyra Strawea,"$145,000.00",Cosmic Navigator,"Cosmic portrait of Lyra Strawea, stellar navigation energy, galaxy background, cosmic navigator aesthetic",Cosmic navigation and astrology specialist with expertise in celestial navigation and cosmic timing. Provides guidance on cosmic alignment and stellar strategy.,Rare Soul,Female,"Monumental hero shot of Lyra Strawea as cosmic navigator, stellar mastery backdrop, commanding cosmic guidance","Strategy, Technology, Wisdom",Rare,Active,"Warm portrait of Lyra Strawea, cosmic wisdom glow, stellar sanctuary background, approachable cosmic navigation",No,No,No,
Marcus Ayesoloe,"$5,000.00",Master Craftsman,"Craftsman portrait of Marcus Ayesoloe, creation energy visible, forge background, master craftsman aesthetic",Master crafting and fabrication specialist with expertise in physical creation and tool making. Provides guidance on craftsmanship and physical manifestation.,Rare Soul,Male,"Monumental hero shot of Marcus Ayesoloe as master craftsman, creation mastery backdrop, commanding physical craftsmanship","Operations, Technology, Visual Arts",Rare,Active,"Warm portrait of Marcus Ayesoloe, crafting wisdom glow, workshop sanctuary background, approachable craftsmanship",No,No,No,
Elana Hornedcrescent,"$5,000.00",Lunar Guardian,"Lunar portrait of Elana Hornedcrescent, moon energy visible, night sky background, lunar guardian aesthetic",Lunar cycles and intuition specialist with expertise in moon phases and intuitive guidance. Provides guidance on lunar timing and intuitive decision making.,Rare Soul,Female,"Monumental hero shot of Elana Hornedcrescent as lunar guardian, lunar mastery backdrop, commanding intuitive presence","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Elana Hornedcrescent, lunar wisdom glow, moonlit sanctuary background, approachable lunar guidance",No,No,No,
Daren Golim,"$5,000.00",Solar Champion,"Solar portrait of Daren Golim, solar energy visible, sunny background, solar champion aesthetic",Solar energy and vitality specialist with expertise in solar cycles and energetic vitality. Provides guidance on solar timing and energetic optimization.,Rare Soul,Male,"Monumental hero shot of Daren Golim as solar champion, solar mastery backdrop, commanding energetic presence","Operations, Performance, Strategy",Rare,Active,"Warm portrait of Daren Golim, solar wisdom glow, solar sanctuary background, approachable solar guidance",No,No,No,
Nyx Nightwhisper,"$5,000.00",Dream Walker,"Dream portrait of Nyx Nightwhisper, dream energy visible, dreamscape background, dream walker aesthetic",Dream interpretation and lucid dreaming specialist with expertise in dream navigation and subconscious work. Provides guidance on dream analysis and lucid dreaming techniques.,Rare Soul,Female,"Monumental hero shot of Nyx Nightwhisper as dream walker, dream mastery backdrop, commanding dream navigation","Performance, Strategy, Wisdom",Rare,Active,"Warm portrait of Nyx Nightwhisper, dream wisdom glow, dreamscape sanctuary background, approachable dream guidance",No,No,No,
Aaron Starhunter,"$5,000.00",Celestial Tracker,"Celestial portrait of Aaron Starhunter, stellar tracking energy, constellation background, celestial tracker aesthetic",Celestial tracking and navigation specialist with expertise in star mapping and celestial positioning. Provides guidance on celestial navigation and stellar tracking.,Rare Soul,Male,"Monumental hero shot of Aaron Starhunter as celestial tracker, stellar mastery backdrop, commanding celestial guidance","Operations, Strategy, Technology",Rare,Active,"Warm portrait of Aaron Starhunter, celestial wisdom glow, stellar sanctuary background, approachable celestial navigation",No,No,No,
Ronda Slow,"$5,000.00",Flow Master,"Light portrait of Ronda Slow, illumination energy visible, dawn background, light bearer aesthetic",Light and illumination specialist with expertise in bringing light to darkness and illuminating paths. Provides guidance on enlightenment and clarity seeking.,Rare Soul,Female,"Monumental hero shot of Ronda Slow as light bearer, illumination mastery backdrop, commanding light presence","Community Building, Performance, Wisdom",Rare,Active,"Warm portrait of Ronda Slow, light wisdom glow, illuminated sanctuary background, approachable enlightenment",No,No,No,
Leavil Lebb,"$5,000.00",Energy Weaver,"Energy portrait of Leavil Lebb, electrical energy visible, power grid background, energy weaver aesthetic",Electrical and energy manipulation specialist with expertise in energy flow and electrical systems. Provides guidance on energy optimization and electrical strategy.,Rare Soul,Male,"Monumental hero shot of Leavil Lebb as energy weaver, energy mastery backdrop, commanding electrical presence","Operations, Strategy, Technology",Rare,Active,"Warm portrait of Leavil Lebb, energy wisdom glow, electrical sanctuary background, approachable energy guidance",No,No,No,
Crystal Hairbearer,"$5,000.00",Crystal Master,"Crystal portrait of Crystal Hairbearer, crystal energy visible, gemstone background, crystal master aesthetic",Crystal healing and gemstone specialist with expertise in crystal properties and gemstone energy. Provides guidance on crystal work and gemstone strategy.,Rare Soul,Female,"Monumental hero shot of Crystal Hairbearer as crystal master, crystal mastery backdrop, commanding crystalline presence","Technology, Visual Arts, Wisdom",Rare,Active,"Warm portrait of Crystal Hairbearer, crystal wisdom glow, crystalline sanctuary background, approachable crystal guidance",No,No,No,
Dennis Earsin,"$5,000.00",Earth Guardian,"Earth portrait of Dennis Earsin, earth energy visible, landscape background, earth guardian aesthetic",Earth and grounding specialist with expertise in earth energy and grounding techniques. Provides guidance on earth connection and grounding strategy.,Rare Soul,Male,"Monumental hero shot of Dennis Earsin as earth guardian, earth mastery backdrop, commanding grounding presence","Operations, Strategy, Wisdom",Rare,Active,"Warm portrait of Dennis Earsin, earth wisdom glow, natural sanctuary background, approachable earth guidance",No,No,No,
Jessica LaBoutny,"$5,000.00",Seduction Artist,"Water portrait of Jessica LaBoutny, water energy visible, ocean background, flow master aesthetic",Water and flow specialist with expertise in fluid dynamics and emotional flow. Provides guidance on water energy and emotional intelligence strategy.,Rare Soul,Female,"Monumental hero shot of Jessica LaBoutny as flow master, water mastery backdrop, commanding fluid presence","Operations, Performance, Strategy",Rare,Active,"Warm portrait of Jessica LaBoutny, water wisdom glow, aquatic sanctuary background, approachable flow guidance",No,No,No,
